
ladder 1
accountId,bias,multiplier,points,power,rank,username,timesAsshole,grapes,vinegar,autoPromote,growing,you
46302,10,17,18305847425390,144302895,1,Tutel,0,2546,0,false,true,false
39115,0,23,18235325323291,159798428,2,Zilvarro,6,4094,599137984,false,true,false
44301,20,17,17174717947489,180454699,3,Mystery Guest #44301,0,406,56669140,true,true,false
46476,0,17,17148692020572,130240722,4,Mystery Guest #46476,0,2882,491056473,false,true,false
46538,5,16,16442326696190,144122652,5,Mystery Guest #46538,0,1052,165020964,true,true,false
46523,1,7,14573376631691,70292550,6,Mystery Guest #46523,0,1428,393456050,true,true,false
43234,0,13,14549029182739,123060254,7,:),0,3688,609382736,false,true,false
46521,0,7,14386155621280,65108553,8,Mystery Guest #46521,0,1321,383628992,true,true,false
45343,0,21,14095535434748,57336136,9,❄️AIM❄,1,1558,255553232,false,true,false
44321,0,21,14082497530213,57740769,10,arena [NOT PLAYING],1,4596,1869942142,false,true,false
44772,0,20,14082295501537,54924017,11,Scurvy,0,2355,107341717,false,true,false
20757,0,22,14058520365727,57795792,12,Lee Ho Jae,0,1364,545401851,false,true,false
46461,0,17,14042901450340,56012670,13,Mystery Guest #46461,0,2709,1100946577,false,true,false
38592,1,13,13592180087038,128868950,14,\uD83D\uDC7B\uD83C\uDDFA\uD83C\uDDE6,0,917,138905122,true,true,false
46468,0,12,13456338807270,52944716,15,Clouds,0,2427,437406769,false,true,false
46510,1,6,12885648540955,54414003,16,Mystery Guest #46510,0,829,288482153,true,true,false
46512,0,6,12866429374371,53968696,17,Mystery Guest #46512,0,1506,524457246,true,true,false
46466,0,8,12628261136845,55921573,18,Mystery Guest #46466,0,2446,955567003,false,true,false
46506,1,5,12075114556048,52408380,19,Mystery Guest #46506,0,457,158987874,true,true,false
46457,0,6,11398081021179,52579407,20,Mystery Guest #46457,0,1530,597473066,false,true,false
43659,31,22,10876161681324,232050134,21,Zylvin,0,7171,5033482,true,false,false
46533,0,16,10870141738189,115571200,22,demonblessing,0,5296,694609100,true,false,false
40827,24,21,10282768227356,210438087,23,Reaper609,0,4070,353274151,true,true,false
42630,1,12,9975846404737,68883059,24,Idiot,0,1042,191013690,true,false,false
46525,4,14,9975818425166,85488467,25,Mystery Guest #46525,0,2273,348487276,true,false,false
263,0,19,9975814115099,96099230,26,Aqualxx,1,3106,0,false,false,false
42424,0,4,9362737255654,42390642,27,PoopiWall? New layout hurt brain,0,1531,681905136,true,true,false
46495,2,3,9129428776431,39955445,28,Mystery Guest #46495,0,2217,865941457,true,true,false
46537,0,6,8395294248194,83605846,29,Mystery Guest #46537,0,1356,215052529,true,true,false
42470,0,22,8114319872327,169672361,30,\uD83C\uDF47,0,16902,5777767382,false,true,false
2000,0,20,7622325616863,161631925,31,Slow,0,2183,170725298,false,true,false
44933,0,26,7441684133053,186902264,32,BegginStripsWillDoIfYouHungry,1,6661,443034187,false,true,false
39723,0,14,6552470871870,133418617,33,meh,0,1011,86330891,true,true,false
46527,1,2,6535573101661,45459355,34,Mystery Guest #46527,0,2460,599725658,false,true,false
41291,0,16,6395439974260,143977292,35,Big wall,0,2743,214387063,true,true,false
46471,0,2,6142923654571,28366270,36,Mystery Guest #46471,0,578,249928081,false,true,false
