accountId,username,timesAsshole
4,[MOD] Kali  \uD83C\uDDFA\uD83C\uDDE6,2
41,Mystery Guest 41,0
48,Pasta Boi,0
92,Mystery Guest 92,0
183,Mystery Guest 183,0
233,Mystery Guest 233,0
262,Notbrad,0
798,Mystery Guest 798,0
955,Mystery Guest 955,0
1002,Mystery Guest 1002,0
1006,Mystery Guest 1006,0
1156,Zakatak,0
1207,Broxma,0
1277,Mystery Guest 1277,0
1279,Mystery Guest 1279,0
1328,Lurker,5
1351,Mystery Guest 1351,0
1386,Mystery Guest 1386,0
1463,Meliodas76,0
1501,Mystery Guest 1501,0
1623,Claus,0
1687,Mystery Guest 1687,0
1757,MonkeyMarkMario(\uD83D\uDE49✔️\uD83D\uDC72),4
1765,Baconer,0
1802,SophieZzz,15
2184,Mystery Guest #2184,0
2198,Mystery Guest #2198,0
2202,Lonk,0
2215,Mystery Guest #2215,0
2287,Mystery Guest #2287,0
2307,Simon,0
2339,Mystery Guest #2339,0
2379,Muted,0
2473,Mystery Guest #2473,0
2524,Mystery Guest #2524,0
2546,Myst,1
2657,Penges,0
2766,Mystery Guest #2766,0
2795,Mystery Guest #2795,0
2807,Mystery Guest #2807,0
2851,Mystery Guest #2851,0
2859,Mystery Guest #2859,0
2863,Clu,15
2914,Mystery Guest #2914,0
2970,Tettvial,0
3023,Mystery Guest #3023,0
3118,Clu's Vinegar Throwing Service,1
3336,Mystery Guest #3336,0
3360,Mystery Guest #3360,0
3368,Umm (A33),2
3429,ChillySkye,0
3561,Mystery Guest #3561,0
3575,threefivesevenfive,0
3693,Mystery Guest #3693,0
3694,The Infinite Pantry,4
3695,Matty G,0
3792,Mellontoast,0
3845,Spoiler,0
3867,Vinegar Grinder,0
3937,hi,0
6969,Lynn (Moderator),0
20887,General Consensus,3
20901,Thingy,5
20912,Mystery Guest #20912,0
36715,Mystery Guest #36715,0
36726,Mystery Guest #36726,0
36780,Zarcicus \uD83C\uDDF8\uD83C\uDDEA [A32],3
36797,Lunamoon,0
36809,Mystery Guest #36809,0
36839,808,0
36878,Mystery Guest #36878,0
36930,Mystery Guest #36930,0
36933,sasasa,0
36979,miniriot,1
37169,37169,2
37203,Mystery Guest #37203,0
37295,Two,0
37362,Mystery Guest #37362,0
37396,DAcs,0
37444,Mystery Guest #37444,0
37644,Space \uD83C\uDDFA\uD83C\uDDE6 Dandy [afk],8
37714,Jon Snow,0
37772,Orns,2
37785,Mystery Guest #37785,0
37846,\uD835\uDC30\uD835\uDC22\uD835\uDC2C\uD835\uDC1E\uD835\uDC24\uD835\uDC22\uD835\uDC24,3
37855,Mystery Guest #37855,0
37859,Naz,0
37910,Mystery Guest #37910,0
37916,Gianteater Ant \uD83D\uDC1C,6
38083,Mystery Guest #38083,0
38102,Bender,16
38178,Mystery Guest #38178,0
38285,&lt;NULL&gt;,0
38382,Mystery Guest #38382,0
38519,a,0
38579,Loenys\uD83C\uDF7B,0
38589,RoyBatty,5
38595,Riethis,0
38616,JessIsAMess,0
38630,Mystery Guest #38630,0
38703,A,0
38709,lila uwu,1
38728,Ozmosis,0
38743,balazamon0,5
38750,Befelhagest III,0
38834,bonety,0
38925,Mystery Guest #38925,0
38982,Mystery Guest #38982,0
38992,Broken Mouse,0
39100,PleinLePif,0
39128,Washawow,0
39240,Better than Kongen,0
39294,Nubem,0
39381,Stain,0
39412,Hyper,0
39505,Mystery Guest #39505,0
39558,Mystery Guest #39558,0
39715,John Doe,0
39781,Gottlieb,1
39842,SanD3R,0
39986,Mystery Guest #39986,0
40050,Vinegar_Collector,0
40126,Vaandart,0
40159,Alynminji,0
40223,Mystery Guest #40223,0
40235,Mystery Guest #40235,0
40241,Makandal,2
40261,Epholos,0
40326,\uD83C\uDF50,0
40380,Gaymer,0
40390,Merioch,6
40485,Mystery Guest #40485,0
40498,LosTHoPE-,0
40547,dero,7
40560,Mystery Guest #40560,0
40571,Keiga,0
40747,Mystery Guest #40747,0
40770,Ponchan,7
40835,WALL TO YOUR FACE,0
40847,Turd Ferguson,6
40909,Elemeno Pea,0
40997,epstmlgy,0
41144,\uD83E\uDD86->\uD83C\uDF4B Hey, got any \uD83C\uDF47?,0
41176,Oligor \uD83D\uDC14,7
41238,That Wall Guy,0
41295,SubjectNameHere (Auto),0
41388,Mystery Guest #41388,0
41484,Mys T. Guest,1
41498,Foobie,0
41514,Mystery Guest #41514,0
41550,Mystery Guest #41550,0
41751,Mystery Guest #41751,0
41760,Mystery Guest #41760,0
41894,SOBEX,10
41942,Pingwin,0
42009,Pyrate,0
42150,Nesyn,23
42221,Ladder 'Tadej fan club' Mercy,5
42337,Mystery Guest #42337,0
42379,Logiar,8
42433,Mystery Guest #42433,0
42470,\uD83C\uDF47,0
42533,OpKos,0
42562,Mystery Guest #42562,0
42701,Mystery Guest #42701,0
42705,Mystery Guest #42705,0
42745,Mystery Guest #42745,0
42804,Mystery Guest #42804,0
42870,Mystery Guest #42870,0
42906,Lionex,0
43459,Blurple,0
43461,Mystery Guest #43461,0
43607,Mystery Guest #43607,0
43626,Valk,0
43725,Skippy,0
43732,Nope,0
43744,Mystery Guest #43744,0
43847,KevlarVest,0
43969,madmax1298,0
43978,MobileChecker,7
44072,Mystery Guest #44072,0
44169,Mystery Guest #44169,0
44242,Experiment #44242,0
44296,Mystery Guest #44296,0
44341,Zorafan,7
44400,Zep,0
44403,Mystery Guest #44403,0
44426,big tony,0
44448,Mystery Guest #44448,14
44509,Yllet (╯^o^)╯︵ ┻━┻,0
44544,Mystery Guest #44544,0
44660,Eraude,0
44695,Mystery Guest #44695,0
44700,Mystery Guest #44700,0
44703,Mystery Guest #44703,0
44732,Mystery Guest #44732,0
44803,snas,1
44901,Mystery Guest #44901,0
45025,Frogram,0
45233,Mystery Guest #45233,0
45524,D3v,0
45554,evc,0
45570,Mystery Guest #45570,0
45688,Jothithi Jones,0
45798,Mystery Guest #45798,0
45860,Mystery Guest #45860,0
45962,WtfIsThis,0
46225,Mystery Guest #46225,0
46246,Everything is Nebulous,0
46249,Mystery Guest #46249,0
46265,o\uD835\uDD92\uD835\uDD8E\uD835\uDD93\uD835\uDD94us,2
46268,BeMore or Vinegar,2
46296,Grapes (Eid Mubarak),8
46321,Mystery Guest #46321,0
46436,Signliver,0
46487,\uD83C\uDFF4‍☠️ Pirate Ship \uD83C\uDFF3️‍⚧️ w4ll,0
46665,crow\uD83D\uDC26,1
46686,Mystery Guest #46686,0
46707,Mystery Guest #46707,0
46717,Mystery Guest #46717,0
46806,Mystery Guest #46806,0
46815,Mystery Guest #46815,0
46849,Mystery Guest #46849,0
46854,Mystery Guest #46854,0
46921,Mystery Guest #46921,0
46977,Mystery Guest #46977,0
47042,Goku90504,0
47057,Mystery Guest #47057,0
47109,Lol,0
47115,PGP,0
47168,Kam The P.,0
47245,Jelly,0
47255,Mystery Guest #47255,0
47330,birduwu,0
47356,Mystery Guest #47356,0
47383,Mystery Guest #47383,0
47400,Mystery Guest #47400,0
47500,Mystery Guest #47500,0
47536,Mystery Guest #47536,0
47552,Mystery Guest #47552,0
47558,Mystery Guest #47558,0
47598,Mystery Guest #47598,0
47600,Mystery Guest #47600,0
47606,Mystery Guest #47606,0
47683,Mighty Mythical Gryphon,2
47684,Mystery Guest #47684,0
47691,Mystery Guest #47691,0
47739,Mystery Guest #47739,0
47746,CrazyWalrus,0
47750,Mystery Guest #47750,0
47797,Mystery Guest #47797,0
47800,Mystery Guest #47800,0
47878,Mystery Guest #47878,0
47883,ShadowRealm,0
47926,Mystery Guest #47926,0
47955,Mystery Guest #47955,0
48063,Mystery Guest #48063,0
48143,NeAu8,0
48151,Illude,0
48179,Mystery Guest #48179,0
48191,Mystery Guest #48191,0
48199,Mystery Guest #48199,0
48209,Mystery Guest #48209,0
48309,Mystery Guest #48309,0
48322,---------,0
48355,Mystery Guest #48355,0
48379,Enigmatic Guest #48379,0
48399,Mystery Guest #48399,0
48439,Mystery Guest #48439,0
48465,Mystery Guest #48465,0
48469,Mystery Guest #48469,0
48520,Mystery Guest #48520,0
48677,Mystery Guest #48677,0
48693,Mystery Guest #48693,0
48720,Kash Tan,0
48730,Mystery Guest #48730,0
48735,Mystery Guest #48735,0
48743,Mystery Guest #48743,0
48763,Mystery Guest #48763,0
48855,APileOfWetLaundry,0
